Time,V_bert,V_exp,V_gomp,V_lin,V_log,V_mend,V_surf,a_exp,a_mend,a_log,a_lin,a_surf,a_gomp,a_bert,b_mend,b_log,b_lin,b_surf,b_gomp,b_bert,c_gomp,tumour
27.959999999999997,555.7003531810386,437.66258949272446,524.6141883514739,487.6920336130157,482.27722560998365,509.6193694183853,490.6801890070773,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
28.08,557.60374338986,438.95648734437106,526.4841389026992,489.3079451783582,483.8679158273609,511.30251216529365,492.2954910316278,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
28.2,559.5114749840346,440.25421063064226,528.359782036181,490.92866206517243,485.46345678567826,512.9900156346023,493.91538145752065,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
28.32,561.423552908939,441.555770634412,530.2411284117766,492.55419532286334,487.06386068781757,514.6818880228686,495.5398698441837,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
28.439999999999998,563.3399821099482,442.8611786688895,532.1281886730549,494.18455601070474,488.66913975273945,516.3781375360907,497.16896575848614,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
28.56,565.260767532436,444.1704460776077,534.0209734473304,495.81975519784737,490.27930621548745,518.0787723897067,498.80267877474273,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
28.68,567.1859141217748,445.4835842344113,535.9194933456976,497.4598039633259,491.89437232719126,519.7838008085942,500.441018474719,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
28.799999999999997,569.1154268233352,446.800604543445,537.8237589630645,499.1047133960669,493.5143503550703,521.4932310270685,502.0839944476362,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
28.919999999999998,571.0493105824868,448.121518439142,539.7337808781879,500.7544945948965,495.1392525824375,523.2070712888835,503.7316162901763,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
29.04,572.9875703445974,449.44633738621195,541.6495696537069,502.40915866854766,496.76909130870274,524.9253298472292,505.38389360648677,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
