Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
10.56,6.878331949630906e-16,6.653485470381703,0.0,6.878331949630906e-16,1.9999999999999998,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.5037128296656493e-15,4.576488168732833e-13,1.9259329458966538e-16,0.06653485470381704,0.0,0.0
10.78,8.296822688409954e-16,6.638863376846957,0.0,8.296822688409954e-16,1.9999999999999996,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,3.020043458581223e-15,5.508147229027319e-13,2.3231103527547874e-16,0.06638863376846957,0.0,0.0
11.0,4.217512003041327e-16,6.624273626857797,0.0,4.217512003041327e-16,1.9999999999999996,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,1.5351743691070428e-15,2.7937953532701683e-13,1.1809033608515716e-16,0.06624273626857798,0.0,0.0
11.22,8.432144441803236e-18,6.609715803633284,0.0,8.432144441803236e-18,1.9999999999999996,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,3.069300576816378e-17,5.573407837550535e-15,2.361000443704906e-18,0.06609715803633284,0.0,0.0
11.44,1.2188249047153004e-16,6.595189499759286,0.0,1.2188249047153004e-16,1.9999999999999996,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.436522653163693e-16,8.038381213623363e-14,3.412709733202841e-17,0.06595189499759287,0.0,0.0
11.66,1.3168202942931537e-16,6.580695197878922,0.0,1.3168202942931537e-16,1.9999999999999991,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.793225871227079e-16,8.66559298712435e-14,3.687096824020831e-17,0.06580695197878922,0.0,0.0
11.88,3.7830761315158655e-17,6.566232897992191,0.0,3.7830761315158655e-17,1.9999999999999991,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,1.377039711871775e-16,2.4840558950368417e-14,1.0592613168244425e-17,0.06566232897992191,0.0,0.0
12.1,-1.5967131387093844e-16,6.551802600099094,0.0,-1.5967131387093844e-16,1.999999999999999,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-5.81203582490216e-16,-1.0461349293808698e-13,-4.4707967883862767e-17,0.06551802600099095,0.0,0.0
12.32,-4.608241961289791e-16,6.537404304199631,0.0,-4.608241961289791e-16,1.9999999999999987,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-1.6774000739094838e-15,-3.0125940832530617e-13,-1.2903077491611414e-16,0.06537404304199632,0.0,0.0
12.540000000000001,-5.563094566344104e-16,6.523036885376047,0.0,-5.563094566344104e-16,1.9999999999999982,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-2.024966422149254e-15,-3.628827105309968e-13,-1.5576664785763493e-16,0.06523036885376048,0.0,0.0
12.76,-6.309048701501439e-16,6.508701015621281,0.0,-6.309048701501439e-16,1.9999999999999978,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-2.2964937273465236e-15,-4.1063711691069127e-13,-1.766533636420403e-16,0.06508701015621281,0.0,0.0
