Time,Susceptible,Exposed,Infected,Recovered,Total_population,beta_o,k,gamma,omega,beta,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
109.0,456.6004769386423,10769.596180869392,238208.9355006293,9750564.867841538,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,10.876631356063363,1538.5122016104588,23239.901956376896
110.0,446.3225788312218,9345.492198957822,217431.76149902196,9772776.423723165,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,9.704470451205864,1335.0689790665176,21212.86008360608
111.0,437.1446396771896,8109.944311080116,198405.39841714574,9793047.512632072,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,8.673185640107242,1158.562314447972,19356.629074975153
112.0,428.9357748574582,7037.972974322278,180990.99973131038,9811542.091519486,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,7.763351471197564,1005.4237051927578,17657.66292478637
113.0,421.5829408045633,6107.907986151149,165059.45907037004,9828411.050002651,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,6.958625216249704,872.5574111775948,16103.36588636437
114.0,414.98812575410886,5300.949570164473,150490.92466836327,9843793.137635695,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,6.245194677112686,757.2777527449862,14682.045101570187
115.0,409.0660543469849,4600.788876581203,137174.3027394715,9857815.842329578,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,5.6113350779434406,657.254896541761,13382.862149565577
116.0,403.7422857011317,3993.2781991967386,125006.75918928832,9870596.22032579,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,5.047051468317422,570.4677437026485,12195.784433266157
117.0,398.95162949594703,3466.1442650421895,113893.22563942971,9882241.678466009,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,4.5437887957400065,495.1629712711321,11111.536986608402
118.0,394.6368331650125,3008.7405852553757,103745.91529401633,9892850.70728754,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,4.094195946543624,429.81965378782724,10121.555241999527
119.0,390.74747369239543,2611.831369690781,94483.85208142154,9902513.569075173,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,3.6919326505541443,373.1183939799159,9217.939092915567
120.0,387.23903095481415,2267.4049334912593,86032.41649352144,9911312.939542009,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,3.3315109593652212,323.91466658376083,8393.408585524445
121.0,384.07210215155885,1968.5113834160964,78322.90985147693,9919324.50666293,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,3.008164463328378,281.2156307006733,7641.26140801994
122.0,381.2117353999633,1709.1217462716152,71292.13832978434,9926617.52818852,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,2.717739977307133,244.16000530712415,6955.33230759209
123.0,378.62686437107857,1484.0061676557018,64882.01827679427,9933255.348691154,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,2.4566075134209626,212.00066909279062,6329.954585102325
124.0,376.2898223101007,1288.6277149932755,59039.2021433529,9939295.880319318,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,2.221585088385238,184.08948948079438,5759.923600307652
125.0,374.1759275633162,1119.0507221875823,53714.72633716774,9944792.047013057,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,2.009875755101943,159.86422901955146,5240.462416180421
126.0,372.26312521099675,971.8609805368787,48863.679779352846,9949792.196114875,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.819014614397128,138.8371440965569,4767.189462953443
127.0,370.5316780238277,844.0966028310213,44444.893251766785,9954340.478467355,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.6468240876167042,120.58510839063122,4336.088230535619
128.0,368.96389898689154,733.1881410826065,40420.64909844962,9958477.198861456,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.4913760290944955,104.74105827063794,3943.478946693843
129.0,367.54391787292883,636.906444804882,36756.40984000754,9962239.139797289,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.3509594879539444,90.98654398549102,3585.9921004009752
130.0,366.25747887209604,553.3176579569865,33420.565974212564,9965659.858888933,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.2240532236193649,79.04530066276124,3260.543837010152
131.0,365.09176203459015,480.74400316670597,30384.201041322263,9968769.963193452,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.1093021496189575,68.67764606038612,2964.3130377924413
132.0,364.03522796983435,417.72985984865346,27620.87380602682,9971597.361106133,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.0054971092703,59.67563458839909,2694.720069389782
133.0,363.07748114935197,363.01233769403825,25106.416417981392,9974167.493763154,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.9115574433727419,51.85885352595723,2449.4070921546827
134.0,362.20914864252677,315.4956828777495,22818.747319862927,9976503.547848595,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.8265159039816491,45.07076676886667,2226.2198072731467
135.0,361.4217736691409,274.2291847275301,20737.698734558384,9978626.650307022,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.749505585846039,39.17555864262077,2023.1906262422503
136.0,360.70772095151165,238.38791169364157,18844.856969269884,9980556.047398064,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.6797485409042551,34.05538190081856,1838.5230907789391
