task_fig2a.time/60,task_fig2a.MAPK_PP,task_fig2a.MAPK
66.6,123.85587677679914,121.80782311034773
66.75,119.98127187297919,125.18732927613044
66.9,116.13008942952168,128.5630440112975
67.05,112.30421428605244,131.93330980596596
67.2,108.50568725804911,135.2963567055832
67.35,104.73673241611797,138.65027381042782
67.5,100.99978673808037,141.99297795147186
67.65,97.29753208853957,145.32217997999015
67.8,93.63293106458016,148.63534596625453
67.95,90.00926652027883,151.9296540700483
68.1,86.43018649722777,155.20194408607998
68.25,82.89975419098805,158.44866050682114
68.4,79.42250474564804,161.66578564926797
68.55,76.00350857319066,164.84876323804704
68.7,72.64844297638108,167.992408741921
68.85,69.36367176567441,171.0908063310454
69.0,66.15633422963862,174.13718872667258
69.15,63.03444287542809,177.12379920608194
69.3,60.0069904049123,180.04173241881227
69.45,57.08406460569666,182.88075312155706
69.6,54.2769700017992,185.62909074588106
69.75,51.59835327333978,188.2732100799958
69.9,49.062328644384685,190.79755923079168
70.05,46.68459788254377,193.18429949910652
70.2,44.482557963734166,195.41302349147347
70.35,42.47538814400142,197.46047571011349
70.5,40.684107561726655,199.30029463521245
70.65,39.13159493357666,200.90280278760034
70.8,37.842563979535136,202.23487814286335
70.95,36.84349303306636,203.25994457949355
71.1,36.162510010857105,203.93812556477448
71.25,35.82923635119152,204.2265994843233
71.4,35.87460093280946,204.08018052706976
71.55,36.33063125481289,203.4521292951811
71.7,37.230219241420215,202.29517435453022
71.85,38.606848002540474,200.56269883452256
72.0,40.49425903079066,198.21002088732703
72.15,42.92603761094964,195.19568417756471
72.3,45.935099522803235,191.48267975217226
72.45,49.553077127313685,187.03953934154214
72.6,53.80962509482772,181.84126564655534
72.75,58.731687178941925,175.8700949528224
72.9,64.34276638299725,169.1161159551586
73.05,70.66225875112852,161.5777994564512
73.2,77.70487616781968,153.26252034072309
73.35,85.48017364960788,144.18717333903356
73.5,93.9921869968393,134.3790225527036
73.65,103.23916347608315,123.87697761885265
73.8,113.21334275423409,112.73359365841546
73.95,123.90071004705061,101.01826027547102
74.1,135.28071006064053,88.82235130360009
74.25,147.32560641123925,76.2674062671479
74.4,159.9994153598043,63.520058412406854
74.55,173.2558722712431,50.81554312479253
