Time,Susceptible,Exposed,Infected,Recovered,Total_Population,r_1,r_2,beta_1,beta_2,alpha,gamma,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
4.142857142857143,6760.884586902048,893.5602664489668,364239.76883146784,10709105.786315182,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,53.53260375299248,125.09843730285536,17483.508903910457
4.178571428571429,6708.8122238738415,825.3842747531985,347286.60126616113,10726179.202235213,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,50.642070959584345,115.5537984654478,16669.756860775735
4.214285714285714,6659.542716129037,763.5012812388419,331119.08688773203,10742457.869114902,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,47.92481308218762,106.89017937343787,15893.716170611138
4.25,6612.908850033374,707.2450631163815,315701.21848539734,10757978.627601454,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,45.36887578508671,99.01430883629342,15153.658487299073
4.285714285714286,6568.7548773104645,656.0257491122935,300998.5906765712,10772776.628697008,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,42.96326762737631,91.8436048757211,14447.932352475416
4.321428571428571,6526.935598301546,609.3207092087616,286978.3346489739,10786885.409043517,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,40.69787067383645,85.30489928922664,13774.960063150747
4.357142857142857,6487.315526349826,566.6665103307865,273609.0547154459,10800336.963247875,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,38.563360393065786,79.33331144631012,13133.234626341404
4.392857142857143,6449.768133553639,527.6519201840188,260860.7669212615,10813161.813025001,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,36.55113388164388,73.87126882576263,12521.316812220552
4.428571428571429,6414.175161246304,491.9117208358771,248704.83956811292,10825389.073549807,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,34.65324536814014,68.8676409170228,11937.832299269421
4.464285714285714,6380.42599239453,459.12128282481973,237113.93574787598,10837046.516976906,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,32.86234822535027,64.27697959547477,11381.468915898047
4.5,6348.417079854151,428.9918062595317,226061.95790811317,10848160.633205775,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,31.1716427698749,60.05885287633444,10850.973979589433
4.535714285714286,6318.051421193313,401.26610294100595,215523.99428902395,10858756.688186847,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,29.574829164739032,56.17725441174084,10345.15172587315
