Time,Normal_cells,Tumor_cells,r,beta1,gamma,alpha1,alpha2,beta2,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth
15.299999999999999,4.214490796671085e-13,2.5008270900254876,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.8172884315245721e-13,9.816688459986648e-13,-0.0003661911531807367
15.6,2.4067805978218277e-13,2.5007241211896694,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.0378037937807722e-13,5.605811866720971e-13,-0.0003205888690212093
15.899999999999999,1.095836033215165e-13,2.5006339410229668,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.725244975223792e-14,2.5523012426518814e-13,-0.00028065344549048945
16.2,2.1909826886225297e-14,2.5005550002651806,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,9.447517353340348e-15,5.1028357691069906e-14,-0.00024569765010186147
16.5,-2.5388242104191225e-14,2.5004858922603685,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-1.0947409995327258e-14,-5.912801144375854e-14,-0.00021509771211630668
16.8,-3.9379845581217923e-14,2.5004253917021235,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-1.698058941462117e-14,-9.171157311784257e-14,-0.00018831040429902342
17.099999999999998,-3.3261803217136216e-14,2.5003724430904106,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-1.434248954722914e-14,-7.746164709425e-14,-0.0001648678698156302
17.4,-1.555610347080544e-14,2.5003260401714478,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-6.7077918166113065e-15,-3.622711091306866e-14,-0.00014432419966935357
17.7,2.1772225561710157e-15,2.5002853932086877,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,9.38818366220942e-16,5.0702414609686934e-15,-0.0001263294539398657
18.0,8.005400556816279e-15,2.5002498384496996,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,3.45192872009918e-15,1.864243804951015e-14,-0.00011058954851743622
18.3,1.0297966002599364e-14,2.5002186258856214,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.440482940320846e-15,2.398091079281713e-14,-9.67722789754315e-05
18.599999999999998,6.0777669163818026e-15,2.500191307665056,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.6207330943438335e-15,1.4153163225367484e-14,-8.467925195594768e-05
18.9,-6.68327210468604e-16,2.5001674452073166,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-2.88182693154062e-16,-1.5563041408627382e-15,-7.411621258982513e-05
19.2,-1.3864784584098262e-14,2.500146526228022,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-5.978495112663171e-15,-3.228604309401555e-14,-6.485630960114823e-05
19.5,-2.122220276203371e-14,2.5001282471992363,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-9.151013830988936e-15,-4.9418434111660033e-14,-5.676512228293745e-05
19.8,-1.989550062557389e-14,2.500112288369155,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-8.578939869747462e-15,-4.63287539852819e-14,-4.9701064487525384e-05
20.099999999999998,-1.854979550718184e-14,2.5000983445838734,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-7.99867182269681e-15,-4.319489796533929e-14,-4.352902514783218e-05
20.4,-1.3130091278963371e-14,2.5000861450587295,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-5.6616953594890064e-15,-3.0574471042606137e-14,-3.812911684154146e-05
20.7,-5.053713162403232e-16,2.500075527585009,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-2.1791611156282736e-16,-1.1767926609146525e-15,-3.342951903628945e-05
21.0,1.986321082397272e-14,2.500066338212457,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.565016507297037e-15,4.6252713699993076e-14,-2.936207188476282e-05
21.3,4.016356482422648e-14,2.5000583394397733,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.731852915220646e-14,9.352304307505934e-14,-2.582163847826902e-05
21.599999999999998,5.029031374054967e-14,2.500051307673419,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.168518328492502e-14,1.1710339881672451e-13,-2.2709242159678105e-05
21.9,4.6541412041151574e-14,2.5000450904823173,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.006865687214456e-14,1.0837363255031255e-13,-1.995740728447156e-05
22.2,6.476998070912916e-14,2.5000398967707684,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.7928815681776495e-14,1.5081930692412348e-13,-1.765859235353807e-05
22.5,7.910157859279982e-14,2.50003538714729,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,3.410860068921528e-14,1.8419063290885294e-13,-1.566257285363329e-05
22.8,8.295701098174019e-14,2.5000313913372816,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,3.5771063135326374e-14,1.9316782555907194e-13,-1.3893980092372095e-05
23.099999999999998,6.69338036571499e-14,2.5000277050780078,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.886185613696304e-14,1.5585708900965636e-13,-1.2262403218133579e-05
23.4,5.901257859388186e-14,2.500024617223913,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.544622388968186e-14,1.374121423247208e-13,-1.0895690416167933e-05
