Time,M,N,Z,q,r,alpha,k1,beta,d1,s,k2,d2,compartment,Increase_in_the_density_of_tumor_cel,Removal_of_tumor_cell_from_the_system,Activation_and_transfer_of_predator_cells_like_CTL_NK_and_macrophage,Removal_of_hunting_predator_cell,Converstion_of_hunting_to_resting_predator_cell,Removal_of_resting_predator_cells
78.75,2.70267630070674,5.200265798675801,0.22377193304637938,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.214892085933965,4.216390539437068,0.11636735301246581,0.10400531597351602,0.12179025727217402,0.1230805110038572
79.0,2.7023041114402027,5.203336419266863,0.22345125909653799,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.216820250751232,4.218299219697416,0.1162692074388052,0.10406672838533726,0.12169761848656965,0.12297274521170135
79.25,2.701936756523245,5.206367510909671,0.2231343383984737,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.218723065088149,4.220182723708583,0.1161719370006138,0.10412735021819343,0.12160583303589373,0.12286596715256802
79.5,2.701574206452003,5.2093593411346735,0.2228211481869988,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.220600693719187,4.2220412484447705,0.11607554297102957,0.10418718682269347,0.12151490245888763,0.12276017741663953
79.75,2.7012164091754207,5.212312322722442,0.2225116552852486,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.222453417909507,4.223875072765534,0.11598002427926696,0.10424624645444885,0.12142482509930597,0.12265537393782441
80.0,2.700863313002317,5.215226865756555,0.22220582666416308,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.224281516740003,4.225684473211782,0.11588537969465876,0.1043045373151311,0.12133559915589721,0.12255155449458364
80.25,2.7005148666071626,5.218103377559087,0.22190362944888123,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.2260852670843585,4.227469723977409,0.11579160783198274,0.10436206755118174,0.12124722268757768,0.12244871671544917
80.5,2.700171019035855,5.220942262626112,0.22160503092513512,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.227864943586,4.229231096880754,0.11569870715676046,0.10441884525252224,0.12115969361858799,0.12234685808451452
80.75,2.699831719711494,5.223743922563189,0.22130999854564423,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.229620818634981,4.230968861335872,0.11560667599052775,0.10447487845126378,0.12107300974363189,0.12224597594689708
81.0,2.6994969184401576,5.226508756020866,0.22101849993650965,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.231353162344747,4.232683284323649,0.11551551251607652,0.10453017512041733,0.12098716873299639,0.1221460675141718
81.25,2.699166565416675,5.229237158630171,0.22073050290360843,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.233062242528851,4.234374630362716,0.11542521478266742,0.10458474317260341,0.12090216813765257,0.12204712986977567
