Time,C,F,P,m,gamma,nu,sigma,Brain
42.449999999999996,20.43514670429466,141.5630920768705,0.15031737102063764,25.0,1.0,1.0,1.0,1.0
42.6,20.561710865197,141.6205583773701,0.15114326875373885,25.0,1.0,1.0,1.0,1.0
42.75,20.688128783651216,141.65683146367067,0.1519900286114312,25.0,1.0,1.0,1.0,1.0
42.9,20.814397043155804,141.67188222208495,0.1528580088323392,25.0,1.0,1.0,1.0,1.0
43.05,20.940512072320843,141.6656805227129,0.15374759405389501,25.0,1.0,1.0,1.0,1.0
43.199999999999996,21.06646934750711,141.63818712362615,0.15465927482429337,25.0,1.0,1.0,1.0,1.0
43.35,21.19226571258184,141.58937722396024,0.1555934162789886,25.0,1.0,1.0,1.0,1.0
43.5,21.31789738926572,141.519220262443,0.1565504565467105,25.0,1.0,1.0,1.0,1.0
43.65,21.443360537149786,141.42768560339348,0.15753085090519683,25.0,1.0,1.0,1.0,1.0
43.8,21.568651253695393,141.31474253672178,0.15853507178119325,25.0,1.0,1.0,1.0,1.0
43.949999999999996,21.693765333220274,141.18035829127018,0.15956365521557644,25.0,1.0,1.0,1.0,1.0
44.1,21.81869815668139,141.0244971263017,0.1606172221121404,25.0,1.0,1.0,1.0,1.0
44.25,21.94344562664907,140.84712803841873,0.16169629798375562,25.0,1.0,1.0,1.0,1.0
44.4,22.06800329814598,140.64821759713652,0.1628014805180911,25.0,1.0,1.0,1.0,1.0
44.55,22.19236652128004,140.4277310744905,0.163933382843187,25.0,1.0,1.0,1.0,1.0
44.699999999999996,22.31653053428057,140.1856332535034,0.16509264195622,25.0,1.0,1.0,1.0,1.0
44.85,22.44049056678101,139.9218893256928,0.16627992808056685,25.0,1.0,1.0,1.0,1.0
45.0,22.56424168839895,139.63646357526002,0.16749593094766874,25.0,1.0,1.0,1.0,1.0
45.15,22.68777862862509,139.32931901023844,0.16874145312555422,25.0,1.0,1.0,1.0,1.0
45.3,22.811096140841634,139.00041861687333,0.17001726803850084,25.0,1.0,1.0,1.0,1.0
45.449999999999996,22.934188895926894,138.6497249929912,0.17132416146509524,25.0,1.0,1.0,1.0,1.0
45.6,23.057051393313017,138.2772000415117,0.17266296622892077,25.0,1.0,1.0,1.0,1.0
45.75,23.179677540039194,137.88280257642188,0.17403467513566068,25.0,1.0,1.0,1.0,1.0
45.9,23.302061588924552,137.4664934588806,0.17544017843088602,25.0,1.0,1.0,1.0,1.0
46.05,23.424197505208323,137.02823212983816,0.17688044104211148,25.0,1.0,1.0,1.0,1.0
46.199999999999996,23.546079031866025,136.5679769206184,0.17835647579601188,25.0,1.0,1.0,1.0,1.0
46.35,23.667699310858115,136.0856826683324,0.1798693931174579,25.0,1.0,1.0,1.0,1.0
46.5,23.78905187278285,135.58130692012452,0.18142026636946623,25.0,1.0,1.0,1.0,1.0
46.65,23.91012987591477,135.05480516261835,0.1830102353956837,25.0,1.0,1.0,1.0,1.0
46.8,24.030926057235664,134.50613090594968,0.1846405654207852,25.0,1.0,1.0,1.0,1.0
46.949999999999996,24.151432512486313,133.93523465626896,0.18631272391979936,25.0,1.0,1.0,1.0,1.0
47.1,24.271641865209507,133.34206937697525,0.18802797205130073,25.0,1.0,1.0,1.0,1.0
47.25,24.391546237405386,132.72658568008907,0.18978772440127978,25.0,1.0,1.0,1.0,1.0
47.4,24.5111371149682,132.0887307316254,0.19159354193821557,25.0,1.0,1.0,1.0,1.0
47.55,24.630405650384503,131.4284500048462,0.19344706558084754,25.0,1.0,1.0,1.0,1.0
47.699999999999996,24.749343230112306,130.745690566567,0.1953498916772383,25.0,1.0,1.0,1.0,1.0
47.85,24.867940756647346,130.04039691882573,0.19730372956745532,25.0,1.0,1.0,1.0,1.0
48.0,24.986188118226554,129.31250877648844,0.19931053366402204,25.0,1.0,1.0,1.0,1.0
