Time,AR_Central,AR_A1,AR_A2,AR_Dose,F1,F2,Lag_time_1,Lag_time_2,k_a_1,k_a_2,base,CL_V,compartment,A1,A2,Central,reaction,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5
9.950000000000001,1.2925022631875838,51.43614192917937,5.539104036741788,196.2028139607378,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.202546325958366,9.417735070115416,15.430842578753811,9.97038726613522,0.32,25.850045263751674
9.975000000000001,1.289285920508576,51.30560568619986,5.525303960779518,195.71291955031535,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.177071816616397,9.394220138415136,15.391681705859957,9.945547129403133,0.32,25.78571841017152
10.0,1.2860777142889335,51.175411115941095,5.511536987046628,195.22424834632176,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.151660914008731,9.370763920623444,15.352623334782328,9.920766576683931,0.32,25.72155428577867
10.025,1.2828776295437825,51.04555724758583,5.497803105222412,194.73679729451203,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.126313459314625,9.347366270136577,15.31366717427575,9.896045589400343,0.32,25.65755259087565
10.05,1.2796856514005588,50.91604311359322,5.484102305702645,194.25056334825382,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.101029294109198,9.324027040716183,15.274812934077964,9.87138415026476,0.32,25.593713028011177
10.075000000000001,1.27650176514017,50.78686774968122,5.47043458002359,193.76554346850716,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.075808260362372,9.300746086488344,15.236060324904365,9.846782244042462,0.32,25.530035302803398
10.100000000000001,1.273325956238159,50.65803019480908,5.45679992128602,193.2817346238038,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.050650200437797,9.277523261942582,15.197409058442723,9.822239858314836,0.32,25.466519124763177
10.125,1.2701582104058668,50.529529491159764,5.4431983245792255,192.79913379022693,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.0255549570918,9.254358421930894,15.158858847347929,9.797756984242605,0.32,25.40316420811734
10.15,1.2669985019792533,50.40136468509758,5.429629666594775,192.31773795188488,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.000522373498013,9.231251421690475,15.120409405529275,9.773333399870596,0.32,25.33997003958507
10.175,1.2638467885154332,50.27353482760636,5.416093649601205,191.83754410112184,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.975552293258335,9.208202116853847,15.082060448281908,9.74896856928217,0.32,25.276935770308665
10.200000000000001,1.2607030768732665,50.14603896874501,5.402590486557877,191.35854923569565,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.950644560256173,9.185210363313391,15.043811690623503,9.724662875804178,0.32,25.21406153746533
10.225000000000001,1.2575673502217808,50.018876163742085,5.389120144343216,190.8807503618558,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.925799018816502,9.162276017369079,15.005662849122626,9.70041625981779,0.32,25.151347004435614
10.25,1.2544395917753803,49.89204547099533,5.375682589836099,190.40414449331763,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.901015513652517,9.139398935679246,14.967613641298598,9.676228661704979,0.32,25.088791835507607
10.275,1.2513197848181357,49.76554595205546,5.362277790164934,189.92872865124264,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.876293889864616,9.116578975259646,14.929663785616638,9.652100022296882,0.32,25.026395696362712
10.3,1.2482079127280759,49.63937667161013,5.348905712956749,189.4544998642188,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.851633992939377,9.093815993482503,14.891813001483039,9.628030283322149,0.32,24.964158254561518
10.325000000000001,1.245103959001478,49.51353669746772,5.335566326586278,188.98145516824084,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.827035668748524,9.07110984807556,14.854061009240315,9.6040193878553,0.32,24.90207918002956
10.350000000000001,1.2420079072771588,49.388025100541256,5.322259600425041,188.50959160669046,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.802498763547904,9.048460397121142,14.816407530162376,9.580067280765075,0.32,24.840158145543178
10.375,1.2389197413607649,49.262840954832235,5.308985505090434,188.0389062303166,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.778023123976462,9.025867499055197,14.77885228644967,9.556173909162782,0.32,24.778394827215298
10.4,1.2358394441347778,49.13798333752531,5.295744001351114,187.56939609727365,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.75360859705823,9.003331012669136,14.741395001257594,9.532339202432006,0.32,24.716788882695553
10.425,1.2327669644646977,49.013451332266,5.282534703225772,187.10105827482653,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.729255030290979,8.980850797191673,14.7040353996798,9.50856246580639,0.32,24.655339289293956
10.450000000000001,1.2297023080757818,48.88924402010869,5.26935780313202,186.6338898345997,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.704962271399184,8.958426712060787,14.666773206032607,9.484844045637637,0.32,24.594046161515635
10.475000000000001,1.2266454566948108,48.76536048754477,5.256213248731902,186.16788785676937,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.680730168552007,8.93605861712493,14.629608146263429,9.461183847717425,0.32,24.53290913389622
10.5,1.2235963920259079,48.64179982410437,5.243100987013294,185.70304942879653,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.656558570297419,8.913746372582233,14.592539947231309,9.43758177662393,0.32,24.471927840518156
10.525,1.220555095761029,48.51856112234157,5.230020964398512,185.2393716454079,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.63244732556121,8.891489838979581,14.555568336702471,9.414037735917322,0.32,24.411101915220577
10.55,1.217521549590457,48.39564347781972,5.216973126852928,184.77685160857695,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.608396283646,8.869288877211694,14.518693043345914,9.39055162833527,0.32,24.35043099180914
10.575000000000001,1.214495735213293,48.27304598909658,5.2039574199935865,184.31548642750488,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.584405294230253,8.847143348520234,14.481913796728973,9.367123355988456,0.32,24.28991470426586
10.600000000000001,1.2114776343479496,48.15076775770962,5.190973789197814,183.8552732186015,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.560474207367278,8.825053114492873,14.445230327312887,9.343752820556066,0.32,24.229552686958993
10.625,1.2084672287426421,48.02880788816125,5.178022179711832,183.39620910546645,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.536602873484256,8.80301803706239,14.408642366448376,9.320439923481299,0.32,24.169344574852843
10.65,1.205464500185881,47.90716548790404,5.16510253675937,182.9382912188699,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.512791143381234,8.781037978505754,14.372149646371211,9.297184566166868,0.32,24.10929000371762
10.675,1.2024694211097104,47.78583966920034,5.1522147102978355,182.48151669778753,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.48903886828495,8.759112801493801,14.335751900760103,9.273986478536104,0.32,24.04938842219421
10.700000000000001,1.199481975873766,47.66482954486884,5.139358670756948,182.02588268699833,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.465345899723912,8.73724236897592,14.29944886346065,9.250845607362507,0.32,23.98963951747532
10.725000000000001,1.1965021475551658,47.54413423090389,5.126534375142623,181.57138633854672,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.44171208960443,8.715426544250242,14.263240269271167,9.227761875256721,0.32,23.930042951103317
10.75,1.1935299171269405,47.42375284662666,5.113741758711751,181.1180248118166,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.418137290214464,8.693665190967197,14.227125853987998,9.204735165681152,0.32,23.87059834253881
10.775,1.1905652655469963,47.303684514256105,5.100980756148304,180.66579527327949,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.394621354210534,8.671958173117416,14.19110535427683,9.181765361066947,0.32,23.811305310939925
10.8,1.187608173763974,47.183928358895244,5.0882513016249895,180.2146948964761,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.371164134616755,8.650305355030852,14.155178507668573,9.158852342924982,0.32,23.75216347527948
10.825000000000001,1.1846586227231093,47.06448350851727,5.0755533288649035,179.76472086199783,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.347765484823887,8.628706601375896,14.11934505255518,9.135995991956827,0.32,23.693172454462186
10.850000000000001,1.1817165933720908,46.9453490939517,5.062886771203182,179.3158703574683,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.32442525858835,8.60716177715848,14.08360472818551,9.113196188165729,0.32,23.634331867441816
10.875,1.1787820666669204,46.82652424887056,5.050251561648653,178.8681405775247,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.301143310031284,8.585670747721187,14.047957274661169,9.090452810967577,0.32,23.57564133333841
10.9,1.1758550235777712,46.70800810977453,5.037647632945492,178.42152872379953,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.277919493637574,8.564233378742378,14.01240243293236,9.067765739301887,0.32,23.517100471555423
10.925,1.1729354449887874,46.589799816847865,5.0250749158620165,177.97603200543466,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.254753664282601,8.542849536260864,13.97693994505436,9.04513484855163,0.32,23.45870889977575
10.950000000000001,1.1700233118674994,46.47189851260484,5.0125333419862725,177.53164763824145,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,9.231645677188554,8.521519086635589,13.94156955378145,9.02256001557529,0.32,23.40046623734999
