Time,x,y,z,t,tau,R,Dx,Dy,Dz,p,mu,compartment,Formation_of_tumor_system,Removal_of_tumor_system,Formation_of_effector_cell_against_tumor_cell,Removal_of_effector_cell_functioning_against_tumor_cell,Formation_of_tumor_detecting_cell,Removal_of_tumor_detecting_cell
178.0,0.7057036589514392,1.2357287211813008,0.05000141386659131,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700738557029102,1.370075934266476,0.06178818321461984,0.06178643605906504,0.7946223199793204,0.794622469167869
180.0,0.7057003796379825,1.2357315050021915,0.05000117993497256,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700674848296686,1.3700692180318546,0.06178803333292902,0.06178657525010957,0.7946186274723682,0.7946187515265839
182.0,0.7056976077916013,1.235733855209006,0.05000098215604831,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700620997057311,1.3700635391308773,0.0617879064439303,0.0617866927604503,0.794615506373343,0.7946156084239198
184.0,0.7056952224887164,1.2357358781278287,0.05000081202220017,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700574657308828,1.3700586524961063,0.061787797351358024,0.06178679390639143,0.7946128205222946,0.7946129046568051
186.0,0.7056930586651079,1.2357377109142618,0.05000065773120408,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700532621527959,1.3700542179710196,0.061787698328965614,0.061786885545713086,0.7946103840569114,0.7946104526642952
188.0,0.7056912099144355,1.2357392774927027,0.05000052587152578,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700496705596987,1.3700504296231155,0.06178761371473446,0.06178696387463513,0.7946083023636542,0.7946083571502877
190.0,0.7056896844953816,1.2357405745854053,0.05000041705742894,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700467070647084,1.3700473070005075,0.061787544104057145,0.06178702872927026,0.7946065847417996,0.7946066278766607
192.0,0.7056884634389824,1.2357416266003463,0.050000329950802676,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700443348570328,1.3700448171140591,0.06178748906395891,0.061787081330017306,0.7946052098322941,0.7946052435781561
194.0,0.7056875791963564,1.2357424013937615,0.050000266869439106,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700426169888,1.3700430231818694,0.061787449851569615,0.06178712006968807,0.7946042141750972,0.7946042410891262
196.0,0.7056869085263997,1.2357429833747526,0.05000021908589937,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.370041314208652,1.3700416585364665,0.06178741990260053,0.06178714916873763,0.794603459000726,0.7946034817131128
198.0,0.7056863908243072,1.235743418769715,0.05000018225632904,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700403087206674,1.3700405953711274,0.061787396160544884,0.06178717093848574,0.7946028760681698,0.7946028964175811
200.0,0.7056859850768131,1.2357437459843819,0.05000015333802987,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.370039520527091,1.3700397522213317,0.06178737678573052,0.06178718729921909,0.7946024191964915,0.7946024368479706
