Time,I,U,V,m,K,xi,gamma,compartment,Tumor_Growth,Conversion_Uninfected_to_Infected,Tumor_Cell_Death,Viral_Decay
573.0,3.677550042804896,0.0003070534772996935,4.988912983439325,0.1,100.0,0.06,0.1,1.0,0.00038976320798383995,0.0004165096792529362,0.22065300256829376,0.4988912983439325
574.0,3.4637741724290843,0.00028187470412881135,4.717868635083337,0.1,100.0,0.06,0.1,1.0,0.0003602138316241797,0.00038389904999755166,0.20782645034574504,0.47178686350833376
575.0,3.2624177843005775,0.0002595470381029957,4.460775472385159,0.1,100.0,0.06,0.1,1.0,0.0003338227246871272,0.0003548561331454191,0.19574506705803466,0.44607754723851595
576.0,3.072760850187823,0.00023969247975507023,4.216993897151696,0.1,100.0,0.06,0.1,1.0,0.00031019380352590147,0.000328923379701996,0.18436565101126937,0.42169938971516957
577.0,2.8941248635281607,0.0002219893911143338,3.9859052787451965,0.1,100.0,0.06,0.1,1.0,0.0002889869248504683,0.0003057092777168727,0.17364749181168965,0.39859052787451965
578.0,2.725870486339631,0.00020616342992719702,3.766912250055528,0.1,100.0,0.06,0.1,1.0,0.00026990940038434995,0.0002848781048661529,0.16355222918037784,0.3766912250055528
579.0,2.5673953119019206,0.00019197970048140698,3.5594388671570982,0.1,100.0,0.06,0.1,1.0,0.00025270846835287746,0.00026614090583546767,0.15404371871411524,0.35594388671570987
580.0,2.418131750417762,0.0001792364667896832,3.362930625608234,0.1,100.0,0.06,0.1,1.0,0.0002371652405780515,0.0002492482590791017,0.14508790502506572,0.3362930625608234
581.0,2.2775450398303207,0.0001677601218532517,3.176854344337609,0.1,100.0,0.06,0.1,1.0,0.0002230898531479575,0.00023398449177934106,0.13665270238981925,0.31768543443376096
582.0,2.1451313669961434,0.0001574008940918575,3.0006979515047756,0.1,100.0,0.06,0.1,1.0,0.00021031726028773485,0.00022016268743668872,0.1287078820197686,0.3000697951504776
583.0,2.020416089678598,0.00014802916538466583,2.8339701934904418,0.1,100.0,0.06,0.1,1.0,0.00019870356659511517,0.00020762035639206679,0.12122496538071587,0.2833970193490442
