Time,FITC_Dextran_single_compartment_model,Pyranine_single_compartment_model,Total_FITC_Dextran,Total_Pyranine,FITC_Dextran_three_compartment_model_compartment_1,FITC_Dextran_three_compartment_model_compartment_2,FITC_Dextran_three_compartment_model_compartment_3,Pyranine_three_compartment_model_compartment_1,Pyranine_three_compartment_model_compartment_2,Pyranine_three_compartment_model_compartment_3,FITC_Dextran_max_uptake_rate,lambda_single_compartment_model_FITC_Dextran,Pyranine_max_uptake_rate,lambda_single_compartment_model_Pyranine,Pyranine_addition_trigger,FITC_Dextran_influx_rate,lambda_compartment_1,lambda_compartment_2,lambda_compartment_3,Pyranine_influx_rate,Dictyostelium_discoideum_AX2,FITC_Dextran_influx_rate_0,FITC_Dextran_transfer_between_endo_lysosomal_compartments_1_and_2,FITC_Dextran_transfer_between_endo_lysosomal_compartments_2_and_3,FITC_Dextran_efflux_rate,Pyranine_influx_rate_0,Pyranine_transfer_between_endo_lysosomal_compartments_1_and_2,Pyranine_transfer_between_endo_lysosomal_compartments_2_and_3,Pyranine_efflux_rate
185.0,554.6859334539554,354.4636884432983,544.863568629324,364.398733212624,180.88826387063244,179.568482064078,184.40682269461357,138.9819783024793,124.00422136213864,101.4125335480061,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.6928657632134,6.644033836370886,6.454238794311475,5.3,5.142333197191734,4.588156190399129,3.5494386741802137
186.0,555.1670989300636,356.68791190638524,545.106036307758,366.1312150233738,180.89526757195551,179.61655015976544,184.59421857603704,139.13676026843666,124.55112380992051,102.44333094501658,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.693124900162354,6.645812355911321,6.460797650161297,5.3,5.148060129932156,4.608391580967059,3.585516583075581
187.0,555.640627020569,358.8900039762355,545.3420281575925,367.82789565774493,180.90201687818632,179.66312197599083,184.77688930341543,139.2859200967985,125.0836794255215,103.45829613542496,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.693374624492893,6.64753551311166,6.46719112561954,5.3,5.153579043581544,4.628096138744295,3.621040364739874
188.0,556.106638951249,361.07018486389103,545.5717076786957,369.4893275013195,180.9085210718525,179.7082428519375,184.95494375490566,139.42966293164773,125.60220710312757,104.4574574665442,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.693615279658542,6.6492049855216875,6.4734230314216985,5.3,5.158897528470965,4.64728166281572,3.6560110113290474
189.0,556.5652540237029,363.2286725892576,545.7952345168729,371.1160644951949,180.9147890138654,179.75195668428083,185.12848881872677,139.56818459933626,126.10702488428609,105.4408550115726,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.69384719351302,6.65082239731839,6.479497108655438,5.3,5.164022830175441,4.665959920718585,3.690429925405041
190.0,557.016589645894,365.36568300290634,546.0127645874301,372.708660066523,180.92082920861233,179.79430604199996,185.29762933681775,139.701673047025,126.59844770509623,106.40853931440175,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.694070680718656,6.652389323553998,6.485417026788622,5.3,5.168961902739925,4.68414256508856,3.7242988760040614
191.0,557.4607613622063,367.4814298076595,546.2244503269819,374.26766052647525,180.926650011052,179.83533249099463,185.4624678249353,139.83031291950107,127.07677933004986,107.36056827692431,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.694286050408924,6.653907302166801,6.491186373872735,5.3,5.1737215780215395,4.701840835211844,3.7576198896923514
192.0,557.8978828830251,369.5761245799607,546.4304405770118,375.79361148300427,180.93225942606296,179.87507631626897,185.62310483467988,139.9542811247704,127.54232097827972,108.29700937995415,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.694493598764329,6.655377823701952,6.496808669213796,5.3,5.178308401616505,4.71906587619635,3.7903953282983953
193.0,558.3280661138471,371.6499767910328,546.6308806383394,377.2870575545924,180.93766512432583,179.9135765535593,185.77963896045426,140.07374718505756,127.99537085375182,109.21793951578304,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.694693609600056,6.656802332481694,6.5022873636159,5.3,5.18272864584713,4.735828721588817,3.822627883052407
194.0,558.7514211839285,373.7031938278251,546.8259122797061,378.7485438044216,180.94287440330714,179.95087094142286,185.9321669349761,140.1888723745467,128.43622595763492,110.12344547224004,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.694886352922364,6.658182224832646,6.507625842724164,5.3,5.1869882778582275,4.752140360432492,3.854320591528402
